text,category
No water supply in Brgy Bagong Silang since 4:25 PM; residents cannot store water Pls respond asap,Water Supply
No water supply in Brgy. Poblacion since 11:55 PM; residents cannot store water. Need help ASAP.,Water Supply
Kitchen fire at a stall near evacuation center Brgy. Malinis; needs inspection of LPG safety.,Fire
Water interruption happens every morning in Brgy. Riverside; need schedule/notice.,Water Supply
"Snatching incident reported on Maharlika Rd, Brgy Riverside at 11:55 PM; CCTV in area should be checked",Crime
Loud karaoke in Brgy Malinis near plaza past 7:00 PM; kids can't sleep thank you,Noise
"Electrical sparks seen then small fire on pole near bridge, Brgy. Bayanihan during drizzle.",Fire
Flickering streetlight at Quezon Blvd. Brgy. Sta. Cruz; safety concern for students.,Streetlight
May nasusunog na basura/kanal near Bonifacio Rd. Brgy. Sta. Cruz around 4:25 PM; strong odor and smoke.,Fire
Several streetlights out along Quezon Blvd. in Brgy. Poblacion; pls repair.,Streetlight
Minor landslide/soil erosion near Brgy. Riverside roadside on Del Pilar St. tuwing malakas ang ulan.,Disaster
Reported suspected food poisoning after eating at covered court Brgy. Poblacion for 1 week; several commuters got sick.,Health
"Power pole leaning dangerously on Maharlika Rd., Brgy. Mabini; might fall after the thunderstorm.",Electricity
May nasusunog na basura/kanal near Maharlika Rd. Brgy. New Era around 12:40 PM; strong odor and smoke.,Fire
Uncollected garbage after market day near elementary school in Brgy. Riverside; plastic scattered on the road.,Garbage
Kitchen fire at a stall near chapel Brgy. Bayanihan; needs inspection of LPG safety.,Fire
Power outage in Brgy. Mabini since 4:25 PM; households cannot use appliances.,Electricity
No water supply in Brgy. Bagong Silang since 4:25 PM; residents cannot store water.,Water Supply
Power outage in Brgy. Mabini since 6:15 AM; households cannot use appliances. thank you.,Electricity
"Tricycles loading/unloading in the middle of Maharlika Rd., Brgy. New Era; causes congestion.",Traffic
Loud karaoke in Brgy. Mabini near riverbank past 5:30 AM; kids can't sleep.,Noise
Stray animals roaming near park in Brgy. New Era; risk of bites and rabies.,Health
"Snatching incident reported on Mabini Ave., Brgy. Poblacion at 7:00 PM; CCTV in area should be checked.",Crime
"Large pothole on National Hwy, Brgy. Mabini; a motorcycle almost crashed this morning. Needs patching. Need help ASAP.",Road Damage
Very slow mobile data signal near public market Brgy. New Era; calls dropping frequently.,Internet
"Broken sidewalk tiles near elementary school, Brgy. Sta. Cruz; pedestrians keep tripping.",Road Damage
Baradong kanal sa Rizal St. Brgy. New Era; umaapaw kahapon pagkatapos ng ulan and water enters houses.,Flooding
Frequent voltage fluctuation/brownout in Brgy. Sta. Cruz today; lights flicker. thank you.,Electricity
Food stalls near plaza Brgy. Riverside have uncovered food and flies; sanitation issue.,Health
Frequent voltage fluctuation/brownout in Brgy. Mabini for 1 week; lights flicker. Need help ASAP.,Electricity
"Knee-deep floodwater kahapon pagkatapos ng ulan along Sampaguita St., Brgy. New Era. Drainage clogged with leaves and plastic.",Flooding
Exposed electrical wire hanging near chapel in Brgy. Mabini; could electrocute someone.,Electricity
May bitak at lubak sa kalsada sa Liberty St. Brgy. Mabini; delikado lalo na pag gabi. Sana ma-actionan agad.,Road Damage
Frequent voltage fluctuation/brownout in Brgy. Malinis today; lights flicker.,Electricity
Community WiFi at chapel Brgy Poblacion not working today; router keeps rebooting,Internet
Intermittent internet: disconnects every few minutes in Brgy. Sta. Cruz especially at 6:15 AM. Need help ASAP.,Internet
"May tambak na basura sa kanto ng Sampaguita St., Brgy. New Era. Hindi pa kinukuha since Monday. May daga na.",Garbage
No traffic enforcer at intersection of Maharlika Rd. in Brgy. Sta. Cruz; near-misses happening.,Traffic
Exposed electrical wire hanging near barangay hall in Brgy. Bagong Silang; could electrocute someone.,Electricity
Tap water is brown/muddy in Brgy. Pag-asa since yesterday; possible pipe contamination. Pls respond asap.,Water Supply
Stray cats and dogs tearing garbage near park Brgy. Bayanihan; causes mess and smell.,Animal Control
Baradong kanal sa Mabini Ave. Brgy. Pag-asa; umaapaw tuwing malakas ang ulan and water enters houses. thank you. 🙏,Flooding
Patay ang ilaw sa poste malapit sa evacuation center Brgy. Malinis since since Monday.,Streetlight
Water interruption happens every morning in Brgy. San Isidro; need schedule/notice.,Water Supply
Broken lamp cover at Brgy. Sta. Cruz near bridge; bulb exposed and could shatter.,Streetlight
Dead animal (dog/cat) on Sampaguita St. Brgy. Pag-asa; needs proper disposal to avoid disease.,Animal Control
Faded pedestrian crossing near plaza Brgy. Bagong Silang; drivers don't slow down. Pls respond asap.,Traffic
Several streetlights out along Bonifacio Rd. in Brgy. Bayanihan; please repair.,Streetlight
Pack of stray dogs near barangay hall in Brgy Sta Cruz 11:55 PM; chased children Sana ma-actionan agad,Animal Control
Intermittent internet: disconnects every few minutes in Brgy. New Era especially at 11:55 PM.,Internet
Bar music too loud near health center Brgy Pag-asa; windows shaking thank you,Noise
Intermittent internet: disconnects every few minutes in Brgy. Bagong Silang especially at 11:55 PM.,Internet
Baha sa tapat ng health center Brgy New Era at 4:25 PM; vehicles cannot pass safely,Flooding
Uncovered well/pit near Brgy. Mabini houses; children at risk.,Public Safety
Heavy traffic due to double parking near riverbank in Brgy. Poblacion at 7:00 PM. Sana ma-actionan agad.,Traffic
Strong winds damaged roofs in Brgy. Malinis last night; families need temporary shelter.,Disaster
Baradong kanal sa Liberty St. Brgy. Riverside; umaapaw after the thunderstorm and water enters houses.,Flooding
Reported suspected food poisoning after eating at covered court Brgy. Riverside this morning; several vendors got sick.,Health
Transformer humming loudly and smells burnt near National Hwy Brgy. Bagong Silang; possible overload.,Electricity
Faded pedestrian crossing near bridge Brgy. Mabini; drivers don't slow down.,Traffic
Grass fire reported near bridge in Brgy. Malinis since Monday; smoke reducing visibility on Rizal St..,Fire
Broken lamp cover at Brgy. Sta. Cruz near health center; bulb exposed and could shatter.,Streetlight
Intermittent internet: disconnects every few minutes in Brgy. Sta. Cruz especially at 4:25 PM.,Internet
Kitchen fire at a stall near public market Brgy. Malinis; needs inspection of LPG safety.,Fire
Broken footbridge/handrail near covered court Brgy. New Era; risk of falling.,Public Safety
"Manhole cover missing on JP Laurel St., Brgy. Sta. Cruz; water cannot drain properly tuwing malakas ang ulan. Need help ASAP.",Flooding
Forest/brush fire near Brgy Bayanihan boundary; flames visible from Mabini Ave at 12:40 PM,Fire
Baha sa tapat ng elementary school Brgy. Mabini at 8:10 AM; vehicles cannot pass safely.,Flooding
"Electrical sparks seen then small fire on pole near health center, Brgy. New Era tuwing malakas ang ulan. Sana ma-actionan agad.",Fire
Reported burglary at Liberty St. Brgy. Malinis; window forced open yesterday. thank you.,Crime
Open trench left by roadworks near riverbank in Brgy. Malinis; no warning signs.,Road Damage
Road shoulder collapsed near Brgy. Poblacion along Quezon Blvd. after heavy rain; risk of accident.,Road Damage
"Tricycles loading/unloading in the middle of Quezon Blvd., Brgy. Riverside; causes congestion.",Traffic
Heavy traffic due to double parking near evacuation center in Brgy. Pag-asa at 12:40 PM.,Traffic
"Snatching incident reported on Liberty St., Brgy. Mabini at 9:30 PM; CCTV in area should be checked.",Crime
Drunk individuals harassing commuters near bridge Brgy. San Isidro at 4:25 PM.,Crime
Dead animal (dog/cat) on Del Pilar St. Brgy. New Era; needs proper disposal to avoid disease.,Animal Control
Broken footbridge/handrail near chapel Brgy Bagong Silang; risk of falling,Public Safety
Open trench left by roadworks near riverbank in Brgy. San Isidro; no warning signs.,Road Damage
"Snatching incident reported on Sampaguita St., Brgy. Pag-asa at 6:15 AM; CCTV in area should be checked.",Crime
Water leak from main pipe near park Brgy. Bagong Silang; water wasted and road flooded.,Water Supply
Community WiFi at public market Brgy. Bayanihan not working since Monday; router keeps rebooting. 😟,Internet
Baha sa tapat ng elementary school Brgy. Bayanihan at 12:40 PM; vehicles cannot pass safely.,Flooding
Illegal dumping of mixed waste and construction debris beside the covered court at Brgy. Malinis. Need help ASAP.,Garbage
Very slow mobile data signal near health center Brgy. Bagong Silang; calls dropping frequently.,Internet
Flickering streetlight at Quezon Blvd. Brgy. Malinis; safety concern for motorists.,Streetlight
Internet connection down in Brgy. Pag-asa since since yesterday; students can't attend online class.,Internet
Open trench left by roadworks near chapel in Brgy. Malinis; no warning signs.,Road Damage
No traffic enforcer at intersection of Liberty St. in Brgy. Poblacion; near-misses happening.,Traffic
Strong winds damaged roofs in Brgy New Era today; families need temporary shelter,Disaster
Heavy traffic due to double parking near public market in Brgy. Poblacion at 7:00 PM.,Traffic
Baha sa tapat ng chapel Brgy. San Isidro at 8:10 AM; vehicles cannot pass safely.,Flooding
Very slow mobile data signal near chapel Brgy. Malinis; calls dropping frequently.,Internet
Baradong kanal sa Bonifacio Rd. Brgy. Pag-asa; umaapaw after heavy rain and water enters houses.,Flooding
Transformer humming loudly and smells burnt near Mabini Ave. Brgy. Malinis; possible overload.,Electricity
Food stalls near health center Brgy. Mabini have uncovered food and flies; sanitation issue.,Health
"Construction drilling starts at 6:15 AM in Brgy. Mabini, Sampaguita St.; violates quiet hours.",Noise
Broken lamp cover at Brgy. New Era near riverbank; bulb exposed and could shatter.,Streetlight
Open trench left by roadworks near park in Brgy. Riverside; no warning signs.,Road Damage
"Streetlight not working on National Hwy, Brgy. San Isidro; area is very dark at night. Sana ma-actionan agad.",Streetlight
Evacuation center at barangay hall Brgy. New Era lacks supplies (water/blankets) for 1 week.,Disaster
No water supply in Brgy. Pag-asa since 5:30 AM; residents cannot store water.,Water Supply
Exposed electrical wire hanging near evacuation center in Brgy. Mabini; could electrocute someone.,Electricity
Blocked fire exit/escape route near barangay hall Brgy. Riverside; please enforce safety.,Public Safety
Motorcycle theft attempt near evacuation center in Brgy. Mabini last night; please increase patrol.,Crime
Transformer humming loudly and smells burnt near Liberty St. Brgy. Bagong Silang; possible overload.,Electricity
"Standing water in front of elementary school, Brgy. Sta. Cruz 3 days ago; possible mosquito breeding. 😷",Flooding
Heavy traffic due to double parking near barangay hall in Brgy. Malinis at 11:55 PM.,Traffic
Minor landslide/soil erosion near Brgy. Malinis roadside on Del Pilar St. tuwing malakas ang ulan. thank you.,Disaster
Uncovered well/pit near Brgy. Riverside houses; children at risk.,Public Safety
Open trench left by roadworks near bridge in Brgy. San Isidro; no warning signs.,Road Damage
Drunk individuals harassing commuters near covered court Brgy. Malinis at 5:30 AM. 😷,Crime
Minor landslide/soil erosion near Brgy. Mabini roadside on Mabini Ave. after the thunderstorm. Sana ma-actionan agad.,Disaster
Bar music too loud near elementary school Brgy. San Isidro; windows shaking. thank you.,Noise
May nasusunog na basura/kanal near Liberty St. Brgy. San Isidro around 11:55 PM; strong odor and smoke.,Fire
Tap water is brown/muddy in Brgy. Bayanihan today; possible pipe contamination.,Water Supply
May asong gala na nangagat sa JP Laurel St. Brgy. Riverside 3 days ago; needs barangay action.,Animal Control
"Broken sidewalk tiles near bridge, Brgy. New Era; pedestrians keep tripping.",Road Damage
"Power pole leaning dangerously on Liberty St., Brgy. Riverside; might fall after the thunderstorm.",Electricity
Exposed electrical wire hanging near evacuation center in Brgy. Pag-asa; could electrocute someone.,Electricity
Several streetlights out along Liberty St. in Brgy. Poblacion; pls repair.,Streetlight
Open trench left by roadworks near elementary school in Brgy. Riverside; no warning signs.,Road Damage
Broken footbridge/handrail near public market Brgy. Malinis; risk of falling.,Public Safety
Road shoulder collapsed near Brgy. New Era along JP Laurel St. after heavy rain; risk of accident.,Road Damage
Several streetlights out along Rizal St. in Brgy. Malinis; please repair.,Streetlight
Reported burglary at Quezon Blvd. Brgy. Poblacion; window forced open since Monday.,Crime
"Manhole cover missing on JP Laurel St., Brgy. Bayanihan; water cannot drain properly kahapon pagkatapos ng ulan.",Flooding
Bar music too loud near plaza Brgy. New Era; windows shaking.,Noise
May nasusunog na basura/kanal near Maharlika Rd. Brgy. Malinis around 6:15 AM; strong odor and smoke.,Fire
Open manhole on Bonifacio Rd. Brgy. Poblacion near public market; very dangerous at night.,Public Safety
Road shoulder collapsed near Brgy. San Isidro along Sampaguita St. during drizzle; risk of accident.,Road Damage
Loud karaoke in Brgy. Mabini near plaza past 12:40 PM; kids can't sleep.,Noise
"Low water pressure on Del Pilar St., Brgy. New Era 3 days ago; tap only drips.",Water Supply
May asong gala na nangagat sa JP Laurel St. Brgy. Bayanihan today; needs barangay action.,Animal Control
Drunk individuals harassing commuters near riverbank Brgy. Riverside at 11:55 PM.,Crime
Motorcycle theft attempt near plaza in Brgy. New Era last night; please increase patrol.,Crime
